ARSON
    index         ds       yhat  yhat_lower  yhat_upper
14    110 2014-03-01  34.684135   23.794213   46.452328
15    111 2014-04-01  38.717796   26.225878   49.887244
16    112 2014-05-01  43.222563   30.751211   54.504080
17    113 2014-06-01  48.936733   37.630041   60.079187
18    114 2014-07-01  54.767868   42.964410   66.567363
19    115 2014-08-01  47.073791   35.307982   59.560483
20    116 2014-09-01  43.687518   32.525751   55.432443
21    117 2014-10-01  41.198698   29.311647   51.738561
22    118 2014-11-01  36.355890   25.071207   48.521500
23    119 2014-12-01  30.817068   19.750271   42.287224
ROBBERY
    index         ds         yhat   yhat_lower   yhat_upper
0      96 2013-01-01   954.414264   838.145017  1071.191770
1      97 2013-02-01   691.256098   575.266206   810.965353
2      98 2013-03-01   891.942649   768.932435  1017.924619
3      99 2013-04-01   880.508657   756.824068   996.728429
4     100 2013-05-01  1093.606732   981.117558  1217.824115
5     101 2013-06-01  1082.069838   960.588627  1204.462880
6     102 2013-07-01  1192.740031  1069.551298  1316.689605
7     103 2013-08-01  1172.058311  1058.392782  1287.262252
8     104 2013-09-01  1134.017748  1020.291485  1256.247817
9     105 2013-10-01  1217.408095  1090.893193  1342.930169
10    106 2013-11-01  1156.670554  1035.081402  1277.725298
11    107 2013-12-01  1083.434096   963.457589  1199.462739
12    108 2014-01-01   926.202124   811.832121  1053.136417
13    109 2014-02-01   580.576691   454.719285   707.851629
14    110 2014-03-01   790.461962   666.705010   917.214497
15    111 2014-04-01   838.466919   718.719310   959.658740
16    112 2014-05-01  1004.181273   886.146695  1129.939378
17    113 2014-06-01  1014.134838   888.285484  1133.907164
18    114 2014-07-01  1140.286209  1024.298311  1263.042469
19    115 2014-08-01  1155.253751  1035.753905  1278.868596
20    116 2014-09-01  1036.800158   908.919857  1154.462445
21    117 2014-10-01  1188.295356  1064.201815  1307.678517
22    118 2014-11-01  1063.160624   936.978158  1185.819112
23    119 2014-12-01   993.409724   875.192651  1116.727800
SEX OFFENSE
    index         ds       yhat  yhat_lower  yhat_upper
0      96 2013-01-01  68.703444   45.584743   90.518676
1      97 2013-02-01  51.213300   28.677130   71.782600
2      98 2013-03-01  75.229440   52.781452   96.856809
3      99 2013-04-01  61.044969   38.496501   83.742116
4     100 2013-05-01  81.962341   58.714064  103.710243
5     101 2013-06-01  94.598737   72.083327  114.772104
6     102 2013-07-01  95.849934   72.907399  118.720346
7     103 2013-08-01  90.262816   68.071217  111.813070
8     104 2013-09-01  90.375867   68.832366  112.987414
9     105 2013-10-01  65.135556   43.015571   85.752264
10    106 2013-11-01  54.069456   31.511223   77.655107
11    107 2013-12-01  45.985380   25.489412   69.583222
12    108 2014-01-01  63.303112   40.319939   85.422688
13    109 2014-02-01  39.495034   15.869553   60.935725
14    110 2014-03-01  57.985195   35.805907   80.396901
15    111 2014-04-01  54.434993   33.184773   77.435784
16    112 2014-05-01  82.691482   60.682944  105.060736
17    113 2014-06-01  90.960825   68.379267  113.640846
18    114 2014-07-01  90.440184   67.319708  112.800816
19    115 2014-08-01  85.112528   62.574919  107.190661
20    116 2014-09-01  71.177100   47.778033   92.773053
21    117 2014-10-01  51.651550   28.547929   74.949466
22    118 2014-11-01  39.448439   18.123159   62.819313
23    119 2014-12-01  27.222149    6.781235   50.441450
THEFT
    index         ds         yhat   yhat_lower   yhat_upper
0      96 2013-01-01  5488.804149  5089.875192  5856.735583
1      97 2013-02-01  4638.178310  4254.914716  5022.233201
2      98 2013-03-01  5839.211089  5440.884258  6211.347904
3      99 2013-04-01  5911.117035  5513.549288  6284.452342
4     100 2013-05-01  6425.506492  6028.093560  6819.772969
5     101 2013-06-01  6511.752614  6123.944349  6912.234075
6     102 2013-07-01  7281.241673  6913.916314  7698.688681
7     103 2013-08-01  7148.065757  6772.208930  7520.079899
8     104 2013-09-01  6804.085279  6408.445101  7216.931551
9     105 2013-10-01  6807.595619  6429.552048  7199.660521
10    106 2013-11-01  6203.957921  5838.707095  6571.512664
11    107 2013-12-01  5658.757872  5245.663614  6045.761469
12    108 2014-01-01  5586.037243  5215.479034  5977.720168
13    109 2014-02-01  4378.557189  3979.771174  4777.969966
14    110 2014-03-01  5593.520656  5169.750689  5980.016241
15    111 2014-04-01  5836.791098  5444.575296  6235.782140
16    112 2014-05-01  6302.135175  5908.772693  6752.550719
17    113 2014-06-01  6678.458885  6263.098870  7091.978032
18    114 2014-07-01  7332.579988  6948.212148  7751.288821
19    115 2014-08-01  7356.000312  6914.403747  7762.436676
20    116 2014-09-01  6597.654898  6185.478647  7025.432745
21    117 2014-10-01  6790.576890  6335.090831  7256.106960
22    118 2014-11-01  5927.719976  5480.664899  6369.788411
23    119 2014-12-01  5570.452482  5127.547072  6013.678480
MOTOR VEHICLE THEFT
    index         ds         yhat   yhat_lower   yhat_upper
0      96 2013-01-01  1495.692944  1211.207771  1788.819528
1      97 2013-02-01  1228.557820   925.270970  1555.537099
2      98 2013-03-01  1452.294874  1141.039526  1788.801181
